id,code,name,description,time_limit,memory_limit,short_circuit,points,partial,is_public,is_manually_managed,date,og_image,summary,user_count,ac_rate,is_organization_private,group_id,license_id,is_full_markup,pdf_url,source,suggester_id,submission_source_visibility_mode,testcase_visibility_mode,allow_view_feedback,testcase_result_visibility_mode
12,a_cong_b_pro_max,A Cộng B Pro Max,"Cho hai số nguyên không âm *a* và *b*. Hãy tính *a + b*.\\r\\n\\r\\nInput\\r\\n----------\\r\\n- Dòng đầu chứa số a.\\r\\n- Dòng thứ hai chứa số b.\\r\\n\\r\\n**Giới hạn:**\\r\\n- 0 <= a, b <= 10^100000\\r\\n\\r\\nOutput\\r\\n----------\\r\\n- Gồm một dòng duy nhất là kết quả *a + b*.\\r\\n\\r\\nVí dụ\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n123\\r\\n4567\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n4690\\r\\n```",0.1,262144,0,1,1,1,0,15:08.0,,,15,17.117117117117118,0,4,,0,,,,O,O,0,A
13,list_01,Đường ray tàu hỏa S,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n4\\r\\n1 3 4 2\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\nYES\\r\\n```\\r\\n\\r\\n----------\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n5\\r\\n2 3 5 4 1\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\nYES\\r\\n```\\r\\n\\r\\n----------\\r\\n\\r\\n**Input #3**\\r\\n```\\r\\n5\\r\\n1 4 2 3 5\\r\\n```\\r\\n**Output #3**\\r\\n```\\r\\nNO\\r\\n```,1,262144,0,1,1,1,0,18:18.0,,,2,6.666666666666667,0,7,,0,/pdf/48df47f1-c627-4bf0-a182-6c4bf3ce5c64.pdf,,,O,O,0,A
15,nghe_thuat_truu_tuong,Nghệ thuật trừu tượng,![Anh](/martor/491d35a3-db72-4c27-9be0-27ed6084da74.png)\\r\\n\\r\\nVí dụ\\r\\n----------\\r\\n**Input** \\r\\n```\\r\\n4 4\\r\\n2 3 5 3\\r\\n2 1 2 2\\r\\n3 4 3 4\\r\\n2 1 3 3\\r\\n```\\r\\n**Output** \\r\\n```\\r\\n13\\r\\n```,1,262144,0,1,1,1,0,15:08.1,,,1,20,0,4,,0,,,,O,O,0,A
16,chu_ech_2,Lại là ếch đây,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n5 3\\r\\n10 30 40 50 20\\r\\n```\\r\\n\\r\\n**Output**\\r\\n```\\r\\n30\\r\\n```,1,262144,0,1,1,1,0,13:39.0,,,4,26.666666666666668,0,4,,0,/pdf/dabe4ab2-6cfc-462f-a4bb-dd64f3a53ca2.pdf,,,O,O,0,A
17,pytago1,Bộ ba Pytago,Ví dụ\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n2 10\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n2\\r\\n```,1,262144,0,1,1,1,0,53:39.0,,,6,18.75,0,4,,0,/pdf/ff22abba-61f0-44d1-80f8-d43665eb5a6c.pdf,,,O,O,0,A
18,cua_hang_nang_luong_thong_minh,Cửa hàng năng lượng thông minh,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n5 2\\r\\n4 1 7 10 9\\r\\n2 4\\r\\n1 10\\r\\n```\\r\\n\\r\\n**Output**\\r\\n```\\r\\n1\\r\\n3\\r\\n```,1,262144,0,1,1,1,0,31:39.0,,,3,13.793103448275861,0,5,,0,/pdf/9b27b50c-42fa-4c27-af4b-280b87482aac.pdf,https://oj.vnoi.info/problem/olp_kc22_smartshop,,O,O,0,A
19,pytago2,Bộ ba Pytago 2,Ví dụ 1\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n7\\r\\n7 5 9 10 0 8 6\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n1\\r\\n```\\r\\n\\r\\nVí dụ 2\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n9\\r\\n2 3 8 5 6 7 4 9 10\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n2\\r\\n```,5,262144,0,1,1,1,0,27:01.0,,,5,41.666666666666664,0,4,,0,/pdf/66980724-1ab1-44b3-9c3a-28f4a1b5cad3.pdf,,,F,O,0,A
20,sohoc_001,Số đầu cuối,"Số đầu cuối là một số nguyên dương có chữ số đầu và chữ số cuối giống nhau.\\r\\n\\r\\nVí dụ: 1, 2, 3, 5, 8, 22, 101,... là các số đầu cuối, còn 0, 23, 192, ... không phải là số đầu cuối.\\r\\n\\r\\n**Yêu cầu:** Viết chương trình nhập vào từ bàn phím một số nguyên dương n, hãy đếm xem có bao nhiêu số đầu cuối nhỏ hơn hay bằng n.\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Một số nguyên dương n duy nhất (1 <= n <= 10^12).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* Một số nguyên dương duy nhất: số lượng số đầu cuối nhỏ hơn hay bằng n .\\r\\n\\r\\nVí dụ 1\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n7\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n7\\r\\n```\\r\\nVí dụ 2\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n75\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n15\\r\\n```\\r\\nVí dụ 3\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n305\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n39\\r\\n```",1,262144,0,1,1,1,0,48:35.0,,,0,0,0,4,,0,,,,F,A,0,A
21,sohoc_002,Số đầu cuối 2,"Số đầu cuối là một số nguyên dương có chữ số đầu và chữ số cuối giống nhau.\\r\\n\\r\\nVí dụ: 1, 2, 3, 5, 8, 22, 101,... là các số đầu cuối, còn 0, 23, 3112, ... không phải là số đầu cuối.\\r\\n\\r\\n**Yêu cầu:** Viết chương trình nhập vào từ bàn phím hai số nguyên dương m và n, hãy đếm xem có bao nhiêu số đầu cuối trong đoạn [m , n].\\r\\n\\r\\n**Input** \\r\\n----------\\r\\n* Hai số nguyên dương m và n cách nhau khoảng trắng (1 <= m < n <= 10^12).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n* Một số nguyên dương duy nhất: số lượng các số đầu cuối k (m <= k <= n).\\r\\n\\r\\nVí dụ 1\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n5 7\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n3\\r\\n```\\r\\nVí dụ 2\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n12 75\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n5\\r\\n```\\r\\nVí dụ 3\\r\\n----------\\r\\n**Input**\\r\\n```\\r\\n141 305\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n17\\r\\n```",1,262144,0,1,1,1,0,03:40.0,,,0,0,0,4,,0,,,,F,A,0,A
24,cntt_bai011,I love TVU,"Viết chương trình in ra màn hình dòng chữ \\""""I love TVU\\"""".\\r\\n**Input**\\r\\n----------\\r\\n\\r\\nKhông có dữ liệu đầu vào.\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\nI love TVU",1,262144,0,1,1,1,0,55:44.0,,,47,50.36496350364963,1,1,,0,,,,S,O,0,A
25,cntt_bai012,In giá trị 3 biến,"Viết chương trình khai báo 3 biến a, b, c lần lượt có kiểu dữ liệu là int, float và char. Khởi tạo giá trị cho 3 biến lần lượt là 100, 8.95 và \\C\\, sau đó in giá trị của các biến ra màn hình theo định dạng như sau:\\r\\n\\r\\n    So nguyen: 100\\r\\n    So thuc: 8.95\\r\\n    Ky tu: C\\r\\n**Input**\\r\\n----------\\r\\n\\r\\n    Không có dữ liệu đầu vào.\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n    So nguyen: 100\\r\\n    So thuc: 8.95\\r\\n    Ky tu: C",1,262144,0,1,1,1,0,04:39.0,,,46,23.868312757201647,1,1,,0,,,,O,A,0,A
26,cntt_bai013,Tính diện tích xung quanh sân trường,"Viết chương trình giải bài toán sau:\\r\\n\\r\\nSân trường hình thang có đáy lớn là 50 m, đáy bé là 23m và chiều cao 30 m. Giữa sân, người ta xây một bồn hoa hình tròn có chu vi 12.56 m. Tính diện tích còn lại của sân trường?\\r\\n**Input**\\r\\n----------\\r\\n\\r\\nKhông có dữ liệu đầu vào.\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\nDiện tích phần còn lại (làm tròn đến 2 số lẻ)\\r\\n\\r\\n----------\\r\\n**Lưu ý:**     Số PI = 3.14",1,262144,0,1,1,1,0,08:56.0,,,47,32.142857142857146,1,1,,0,,,,S,A,0,A
27,cntt_bai014,Tính doanh thu,"Viết chương trình giải bài toán sau:\\r\\n\\r\\nCông ty A cần tính doanh thu trong ngày dựa trên số lượng hàng, đơn giá và chi phí vận chuyển như sau: \\r\\n\\r\\nDoanh thu = số lượng * đơn giá – chi phí vận chuyển.\\r\\n\\r\\nVới số lượng, đơn giá và chi phí vận chuyển được nhập từ bàn phím\\r\\n**Input**\\r\\n----------\\r\\n* Số nguyên dương SL (0 < SL <= 10^3) : số lượng\\r\\n* Số nguyên dương DG (10^3 <= DG <= 10^8) : đơn giá\\r\\n* Số nguyên dương CP (10^3 <= CP <= 10^8) : chi phí vận chuyển\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Số nguyên dương duy nhất DT :  doanh thu \\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n10\\r\\n150000\\r\\n50000\\r\\n\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n1450000\\r\\n```",1,262144,0,1,1,1,0,17:35.0,,,45,16.470588235294116,1,1,,0,,,,S,A,0,A
28,list_02,Đường ray tàu hỏa Q,**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input #1**\\r\\n```\\r\\n4\\r\\n1 3 4 2\\r\\n```\\r\\n**Output #1**\\r\\n```\\r\\nYES\\r\\n```\\r\\n\\r\\n----------\\r\\n\\r\\n**Input #2**\\r\\n```\\r\\n5\\r\\n2 3 5 4 1\\r\\n```\\r\\n**Output #2**\\r\\n```\\r\\nNO\\r\\n```\\r\\n\\r\\n----------\\r\\n\\r\\n**Input #3**\\r\\n```\\r\\n5\\r\\n1 4 2 3 5\\r\\n```\\r\\n**Output #3**\\r\\n```\\r\\nYES\\r\\n```,1,262144,0,1,1,1,0,36:20.0,,,1,5.2631578947368425,0,7,,0,/pdf/4baae7fc-a314-42ed-be3a-2a4098fb8900.pdf,,,O,O,0,A
29,cntt_bai015,Nhập và xuất chuỗi ký tự,Viết chương trình khai báo 3 biến gồm: mã số sinh viên (kiểu chuỗi ký tự,,,,,,,,,,,,,,,,,,,,,,,
30,cntt_bai021,Đếm chữ số lẻ và chữ số chẵn của một số nguyên,"Cho n là số tự nhiên lớn hơn 0, viết chương trình đếm số chữ số là số lẻ\\r\\nvà chữ số chẵn của n (với n được nhập từ bàn phím) và in kết quả ra màn hình.\\r\\n**Input**\\r\\n----------\\r\\n* Số nguyên n (0 < n <= 10^4)\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Số chữ số lẻ của n \\r\\n* Số chữ số chẵn của n \\r\\n**Ví dụ 1**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n1\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n1\\r\\n0\\r\\n```\\r\\n**Ví dụ 2**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n3690\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n2\\r\\n2\\r\\n```",1,262144,0,1,1,1,0,24:11.0,,,47,36.30136986,1,1,,0,,,,S,A,0,A
31,cntt_bai022,Tính tổng các chữ số nguyên tố của một số nguyên,"Cho n là số tự nhiên lớn hơn 0, viết chương trình tính tổng các chữ số là số nguyên tố của n và in kết quả ra màn hình.\\r\\n**Input**\\r\\n----------\\r\\n* Số nguyên n (0 < n <= 10^5)\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Tổng các chữ số nguyên tố của n \\r\\n\\r\\n**Ví dụ 1**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n1\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n0\\r\\n```\\r\\n**Ví dụ 2**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n12597\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n14\\r\\n```",1,262144,0,1,1,1,0,54:56.0,,,46,31.60919540229885,1,1,,0,,,,S,A,0,A
32,cntt_bai023,Bảng cửu chương của n,"Cho n là số tự nhiên lớn hơn 0 và nhỏ 10, viết chương trình in ra màn hình bảng cửu chương n..\\r\\n**Input**\\r\\n----------\\r\\n* Số nguyên n (0 < n < 10)\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Bảng cửu chương của n có 10 dòng\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n3\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n3 x 1 = 3\\r\\n3 x 2 = 6\\r\\n3 x 3 = 9\\r\\n3 x 4 = 12\\r\\n3 x 5 = 15\\r\\n3 x 6 = 18\\r\\n3 x 7 = 21\\r\\n3 x 8 = 24\\r\\n3 x 9 = 27\\r\\n3 x 10 = 30\\r\\n```",1,262144,0,1,1,1,0,52:33.0,,,46,32.20338983050848,1,1,,0,,,,S,A,0,A
33,cntt_bai024,Tính giá trị các biểu thức phần 1,,1,262144,0,1,1,1,0,47:09.0,,,43,27.976190476190474,1,1,,0,/pdf/620b9440-bda7-462b-b4fb-2ed17cfdeb6d.pdf,,,S,A,0,A
34,cntt_bai031,Tính giá trị các biểu thức phần 2,,1,262144,0,1,1,1,0,51:51.0,,,40,28.37837837837838,1,1,,0,/pdf/09392164-ccbf-4828-80ba-853c95e1ec57.pdf,,,S,A,0,A
35,cntt_bai032,Giải phương trình bậc nhất,,1,262144,0,1,1,1,0,36:55.0,,,47,33.75796178343949,0,1,,0,/pdf/1ebcab30-fdf7-4253-8357-917a9da9c6d6.pdf,,,S,A,0,A
36,cntt_bai033,Giải phương trình bậc hai,,1,262144,0,1,1,1,0,31:55.0,,,45,21.71945701357466,0,1,,0,/pdf/d57333aa-f1ad-4be9-88c3-0b731b0b0864.pdf,,,S,A,0,A
37,gia_tri_tuyet_doi,Giá trị tuyệt đối,"Viết chương trình nhập vào 2 số nguyên **a** và **b**. Tính và in ra giá trị tuyệt đối của **a - b**.\\r\\n\\r\\n**Input**\\r\\n----------\\r\\n\\r\\n- Gồm một dòng duy nhất chứa 2 số nguyên **a** và **b** cách nhau 1 khoảng trống (|a|, |b| <= 10^6).\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n\\r\\n- Một số duy nhất là giá trị **|a - b|** tính được.\\r\\n\\r\\n**Ví dụ**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n3 5\\r\\n```\\r\\n\\r\\n**Output**\\r\\n```\\r\\n2\\r\\n```",1,262144,0,1,1,1,0,03:43.0,,,30,58.490566037735846,0,1,,0,,,,O,O,0,A
38,cntt_bai041,Số nguyên tố,Viết hàm kiểm tra số nguyên N là một số nguyên tố: trả về 0 nếu N là số nguyên tố ngược lại trả về 1 với n <= 10^9. Hãy xây dựng một chương trình nhập vào từ bàn phím một số nguyên N và xuất ra giá trị hàm kiểm tra số nguyên tố của N.\\r\\n\\r\\n**Input**\\r\\n----------\\r\\n* Số nguyên n (n <= 10^9)\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Giá trị hàm kiểm tra số nguyên tố của n \\r\\n\\r\\n**Ví dụ 1**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n1\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n1\\r\\n```\\r\\n**Ví dụ 2**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n13\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n0\\r\\n```,1,262144,0,1,1,1,0,42:12.0,,,45,37.31343284,1,1,,0,,,,S,A,0,A
39,cntt_bai042,Đếm và tính tổng các số nguyên tố,"Viết chương trình nhập vào từ bàn phím hai số nguyên x và y (-10^6 <= x < y <= 10^6) và in ra màn hình giá trị hai hàm sau:\\r\\n\\r\\n* Hàm đếm số lượng số nguyên tố trong đoạn [x , y]\\r\\n* Hàm tính tổng các số nguyên tố trong đoạn [x , y]  \\r\\n\\r\\n**Input**\\r\\n----------\\r\\n* Hai số nguyên x và y (-10^6 <= x < y <= 10^6)\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Giá trị hàm đếm số lượng số nguyên tố trong đoạn [x , y]\\r\\n* Giá trị hàm tính tổng các số nguyên tố trong đoạn [x , y] \\r\\n\\r\\n**Ví dụ 1**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n-1 10\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n4\\r\\n17\\r\\n```\\r\\n**Ví dụ 2**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\n8 9\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n0\\r\\n0\\r\\n```",1,262144,0,1,1,1,0,57:09.0,,,45,36.2962963,0,1,,0,,,,S,A,0,A
40,cntt_bai054,Tìm số dương đầu tiên,Cho mảng một chiều số thực A có n phần tử (1 <= n <= 1000,,,,,,,,,,,,,,,,,,,,,,,
41,cntt_bai053,Tìm vị trí nhỏ nhất đầu tiên,Cho mảng một chiều số thực A có n phần tử (1 <= n <= 1000,,,,,,,,,,,,,,,,,,,,,,,
42,cntt_bai051,Tìm số chẵn cuối cùng,Cho mảng một chiều các số nguyên dương có n phần tử (1 <= n <= 1000,,,,,,,,,,,,,,,,,,,,,,,
43,cntt_bai052,Đếm số < 100,Cho mảng một chiều các số nguyên dương có n phần tử (1 <= n <= 1000,,,,,,,,,,,,,,,,,,,,,,,
44,cntt_bai061,Tính tổng các phần tử  trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150",,,,,,,,,,,,,,,,,,,,,,,
45,cntt_bai062,Tính tổng các phần tử chẵn trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150",,,,,,,,,,,,,,,,,,,,,,,
46,cntt_bai063,Đếm các phần tử số nguyên tố trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150",,,,,,,,,,,,,,,,,,,,,,,
47,cntt_bai064,Tính tổng các phần tử ở hàng k trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150",,,,,,,,,,,,,,,,,,,,,,,
48,cntt_bai065,Tính tổng các phần tử nằm trên đường chéo chính trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150",,,,,,,,,,,,,,,,,,,,,,,
49,cntt_bai071,Đếm các loại ký tự,Viết chương trình nhập chuỗi ký tự S và in ra màn hình các giá trị sau:\\r\\n* Số lượng khoảng trắng\\r\\n* Số lượng ký số \\r\\n* Số lượng chữ cái latin\\r\\n* Số lượng các ký tự khác\\r\\n\\r\\n**Input**\\r\\n----------\\r\\n* Chuỗi ký tự (số lượng ký tự tối thiểu là 1 và tối đa là 1000)\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Bốn dòng là bốn giá trị đếm được theo yêu cầu\\r\\n\\r\\n**Ví dụ:**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\nI love TVU\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n2\\r\\n0\\r\\n8\\r\\n0\\r\\n```,1,262144,0,1,1,1,0,27:09.0,,,39,54.54545454545455,1,1,,0,,,,F,A,0,A
50,cntt_bai072,Đếm số từ của chuỗi ký tự,Viết chương trình nhập chuỗi ký tự S và in ra màn hình số lượng từ của chuỗi (các từ cách nhau bởi khoảng trắng)\\r\\n\\r\\n**Input**\\r\\n----------\\r\\n* Chuỗi ký tự (số lượng ký tự tối thiểu là 1 và tối đa là 1000)\\r\\n\\r\\n**Output**\\r\\n----------\\r\\n* Số lượng từ\\r\\n\\r\\n**Ví dụ:**\\r\\n----------\\r\\n\\r\\n**Input**\\r\\n```\\r\\nI love TVU\\r\\n```\\r\\n**Output**\\r\\n```\\r\\n3\\r\\n```,1,262144,0,1,1,1,0,54:47.0,,,41,41.584158415841586,1,1,,0,,,,F,A,0,A
