id,name,description
30,Đếm chữ số lẻ và chữ số chẵn của một số nguyên,"Cho n là số tự nhiên lớn hơn 0, viết chương trình đếm số chữ số là số lẻ và chữ số chẵn của n (với n được nhập từ bàn phím) và in kết quả ra màn hình. **Input** ---------- * Số nguyên n (0 < n <= 10^4) **Output** ---------- * Số chữ số lẻ của n * Số chữ số chẵn của n **Ví dụ 1** ---------- **Input** ``` 1 ``` **Output** ``` 1 0 ``` **Ví dụ 2** ---------- **Input** ``` 3690 ``` **Output** ``` 2 2 ```"
31,Tính tổng các chữ số nguyên tố của một số nguyên,"Cho n là số tự nhiên lớn hơn 0, viết chương trình tính tổng các chữ số là số nguyên tố của n và in kết quả ra màn hình. **Input** ---------- * Số nguyên n (0 < n <= 10^5) **Output** ---------- * Tổng các chữ số nguyên tố của n **Ví dụ 1** ---------- **Input** ``` 1 ``` **Output** ``` 0 ``` **Ví dụ 2** ---------- **Input** ``` 12597 ``` **Output** ``` 14 ```"
32,Bảng cửu chương của n,"Cho n là số tự nhiên lớn hơn 0 và nhỏ 10, viết chương trình in ra màn hình bảng cửu chương n.. **Input** ---------- * Số nguyên n (0 < n < 10) **Output** ---------- * Bảng cửu chương của n có 10 dòng **Ví dụ** ---------- **Input** ``` 3 ``` **Output** ``` 3 x 1 = 3 3 x 2 = 6 3 x 3 = 9 3 x 4 = 12 3 x 5 = 15 3 x 6 = 18 3 x 7 = 21 3 x 8 = 24 3 x 9 = 27 3 x 10 = 30 ```"
33,Tính giá trị các biểu thức phần 1,
34,Tính giá trị các biểu thức phần 2,
35,Giải phương trình bậc nhất,
36,Giải phương trình bậc hai,
37,Giá trị tuyệt đối,"Viết chương trình nhập vào 2 số nguyên **a** và **b**. Tính và in ra giá trị tuyệt đối của **a - b**. **Input** ---------- - Gồm một dòng duy nhất chứa 2 số nguyên **a** và **b** cách nhau 1 khoảng trống (|a|, |b| <= 10^6). **Output** ---------- - Một số duy nhất là giá trị **|a - b|** tính được. **Ví dụ** ---------- **Input** ``` 3 5 ``` **Output** ``` 2 ```"
38,Số nguyên tố,Viết hàm kiểm tra số nguyên N là một số nguyên tố: trả về 0 nếu N là số nguyên tố ngược lại trả về 1 với n <= 10^9. Hãy xây dựng một chương trình nhập vào từ bàn phím một số nguyên N và xuất ra giá trị hàm kiểm tra số nguyên tố của N. **Input** ---------- * Số nguyên n (n <= 10^9) **Output** ---------- * Giá trị hàm kiểm tra số nguyên tố của n **Ví dụ 1** ---------- **Input** ``` 1 ``` **Output** ``` 1 ``` **Ví dụ 2** ---------- **Input** ``` 13 ``` **Output** ``` 0 ```
39,Đếm và tính tổng các số nguyên tố,"Viết chương trình nhập vào từ bàn phím hai số nguyên x và y (-10^6 <= x < y <= 10^6) và in ra màn hình giá trị hai hàm sau: * Hàm đếm số lượng số nguyên tố trong đoạn [x , y] * Hàm tính tổng các số nguyên tố trong đoạn [x , y] **Input** ---------- * Hai số nguyên x và y (-10^6 <= x < y <= 10^6) **Output** ---------- * Giá trị hàm đếm số lượng số nguyên tố trong đoạn [x , y] * Giá trị hàm tính tổng các số nguyên tố trong đoạn [x , y] **Ví dụ 1** ---------- **Input** ``` -1 10 ``` **Output** ``` 4 17 ``` **Ví dụ 2** ---------- **Input** ``` 8 9 ``` **Output** ``` 0 0 ```"
40,Tìm số dương đầu tiên,Cho mảng một chiều số thực A có n phần tử (1 <= n <= 1000
41,Tìm vị trí nhỏ nhất đầu tiên,Cho mảng một chiều số thực A có n phần tử (1 <= n <= 1000
42,Tìm số chẵn cuối cùng,Cho mảng một chiều các số nguyên dương có n phần tử (1 <= n <= 1000
43,Đếm số < 100,Cho mảng một chiều các số nguyên dương có n phần tử (1 <= n <= 1000
44,Tính tổng các phần tử trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150"
45,Tính tổng các phần tử chẵn trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150"
46,Đếm các phần tử số nguyên tố trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150"
47,Tính tổng các phần tử ở hàng k trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150"
48,Tính tổng các phần tử nằm trên đường chéo chính trong mảng hai chiều,"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150"
49,Đếm các loại ký tự,Viết chương trình nhập chuỗi ký tự S và in ra màn hình các giá trị sau: * Số lượng khoảng trắng * Số lượng ký số * Số lượng chữ cái latin * Số lượng các ký tự khác **Input** ---------- * Chuỗi ký tự (số lượng ký tự tối thiểu là 1 và tối đa là 1000) **Output** ---------- * Bốn dòng là bốn giá trị đếm được theo yêu cầu **Ví dụ:** ---------- **Input** ``` I love TVU ``` **Output** ``` 2 0 8 0 ```
50,Đếm số từ của chuỗi ký tự,Viết chương trình nhập chuỗi ký tự S và in ra màn hình số lượng từ của chuỗi (các từ cách nhau bởi khoảng trắng) **Input** ---------- * Chuỗi ký tự (số lượng ký tự tối thiểu là 1 và tối đa là 1000) **Output** ---------- * Số lượng từ **Ví dụ:** ---------- **Input** ``` I love TVU ``` **Output** ``` 3 ```
51,Nhập xuất kiểu dữ liệu có cấu trúc,"Khai báo kiểu dữ liệu biểu diễn thông tin của một quyển sách gồm: mã sách, tên sách, tác giả, năm xuất bản, số trang, đơn giá. Viết hàm nhập xuất thông tin cho kiểu dữ liệu này. **Input** ---------- * Thông tin sách: mã sách, tên sách, tác giả, năm xuất bản, số trang, đơn giá **Output** ---------- * 6 dòng thông tin sách vừa nhập **Ví dụ 1:** ---------- **Input** ``` 001 Nha gia kim Paulo Coelho 2020 227 60000 ``` **Output** ``` 001 Nha gia kim Paulo Coelho 2020 227 60000 ``` **Ví dụ 2:** ---------- **Input** ``` KT002 Chat GPT thuc chien Dich Duong, Phan Trach Ban, Ly The Minh 2024 263 130000 ``` **Output** ``` KT002 Chat GPT thuc chien Dich Duong, Phan Trach Ban, Ly The Minh 2024 263 130000 ```"
52,Nhập xuất mảng dữ liệu có cấu trúc,"Khai báo kiểu dữ liệu biểu diễn thông tin của một quyển sách gồm: mã sách, tên sách, tác giả, năm xuất bản, số trang, đơn giá; tiếp tục khai báo kiểu dữ liệu để lưu trữ danh mục các quyển sách. Viết hàm nhập xuất thông tin cho n quyển sách (1<=n<=1000). **Input** ---------- * Số nguyên dương n (1<=n<=1000) * Thông tin n quyển sách: mã sách, tên sách, tác giả, năm xuất bản, số trang, đơn giá **Output** ---------- * Thông tin các quyển sách theo thứ tự: mã sách, tên sách, tác giả, năm xuất bản, số trang, đơn giá (mỗi thông tin nằm trên 1 dòng) **Ví dụ :** ---------- **Input** ``` 2 001 Nha gia kim Paulo Coelho 2020 227 60000 KT002 Chat GPT thuc chien Dich Duong, Phan Trach Ban, Ly The Minh 2024 263 130000 ``` **Output** ``` 001 Nha gia kim Paulo Coelho 2020 227 60000 KT002 Chat GPT thuc chien Dich Duong, Phan Trach Ban, Ly The Minh 2024 263 130000 ```"
53,Quản lý sách 1,"Khai báo kiểu dữ liệu biểu diễn thông tin của một quyển sách gồm: mã sách, tên sách, tác giả, năm xuất bản, số trang, đơn giá; tiếp tục khai báo kiểu dữ liệu để lưu trữ danh mục các quyển sách. Viết các hàm sau: * Nhập thông tin cho n quyển sách (1<=n<=1000). * In các mã sách có năm xuất bản trước năm 2021 * Đếm số lượng sách có giá lớn hơn 50000 **Input** ---------- * Số nguyên dương n (1<=n<=1000) * Thông tin n quyển sách: mã sách, tên sách, tác giả, năm xuất bản, số trang, đơn giá **Output** ---------- * Các mã sách có năm xuất bản trước năm 2021(mỗi mã sách nằm trên 1 dòng) * Số nguyên k: số lượng sách có giá lớn hơn 50000 **Ví dụ :** ---------- **Input** ``` 2 VH001 Nha gia kim Paulo Coelho 2020 227 60000 VH002 Mua thu cua cay duong Kazumi Yumoto 2024 204 75000 ``` **Output** ``` VH001 2 ```"
54,Quản lý sách 2,"Khai báo kiểu dữ liệu biểu diễn thông tin của một quyển sách gồm: mã sách, tên sách, tác giả, năm xuất bản, số trang, đơn giá; tiếp tục khai báo kiểu dữ liệu để lưu trữ danh mục các quyển sách. Viết các hàm sau: * Nhập thông tin cho n quyển sách (1<=n<=1000). * In các mã sách của tác giả Gosho Aoyama **Input** ---------- * Số nguyên dương n (1<=n<=1000) * Thông tin n quyển sách: mã sách, tên sách, tác giả, năm xuất bản, số trang, đơn giá **Output** ---------- * Các tên sách của tác giả Gosho Aoyama (mỗi tên sách nằm trên 1 dòng) **Ví dụ :** ---------- **Input** ``` 3 VH001 Nha gia kim Paulo Coelho 2020 227 60000 TT001 Tham tu lung danh Conan 1 Gosho Aoyama 2024 184 35000 TT002 Tham tu lung danh Conan 2 Gosho Aoyama 2024 180 35000 ``` **Output** ``` Tham tu lung danh Conan 1 Tham tu lung danh Conan 2 ```"
55,Nhập xuất thông tin sinh viên,"Quản lý danh sách điểm quá trình của sinh viên gồm: mã số sinh viên, lớp, họ tên, điểm quá trình 1, điểm quá trình 2, điểm trung bình, yêu cầu như sau: * Viết hàm nhập n sinh viên (1<=n<=1000"
56,In danh sách điểm trung bình của sinh viên,"Quản lý danh sách điểm quá trình của sinh viên gồm: mã số sinh viên, lớp, họ tên, điểm quá trình 1, điểm quá trình 2, điểm trung bình, yêu cầu như sau: * Viết hàm nhập n sinh viên (1<=n<=1000"
57,Đếm số lượng sinh viên theo điều kiện điểm,"Quản lý danh sách điểm quá trình của sinh viên gồm: mã số sinh viên, lớp, họ tên, điểm quá trình 1, điểm quá trình 2, điểm trung bình, yêu cầu như sau: * Viết hàm nhập n sinh viên (1<=n<=1000"
58,In danh sách thông tin sinh viên theo điều kiện,"Quản lý danh sách điểm quá trình của sinh viên gồm: mã số sinh viên, lớp, họ tên, điểm quá trình 1, điểm quá trình 2, điểm trung bình, yêu cầu như sau: * Viết hàm nhập n sinh viên (1<=n<=1000"
59,Đếm số lượng sinh viên theo điều kiện điểm,"Quản lý danh sách điểm quá trình của sinh viên gồm: mã số sinh viên, lớp, họ tên, điểm quá trình 1, điểm quá trình 2, điểm trung bình, yêu cầu như sau: * Viết hàm nhập n sinh viên (1<=n<=1000"
60,In danh sách thông tin sinh viên theo điều kiện,"Quản lý danh sách điểm quá trình của sinh viên gồm: mã số sinh viên, lớp, họ tên, điểm quá trình 1, điểm quá trình 2, điểm trung bình, yêu cầu như sau: * Viết hàm nhập n sinh viên (1<=n<=1000"
61,Tính giá trị biểu thức đệ qui 1A,
62,Tính giá trị biểu thức đệ qui 1B,
63,Tính giá trị biểu thức đệ qui 1C,
64,Tính giá trị biểu thức đệ qui 1D,
65,Tính giá trị biểu thức đệ qui (hai biến) 2A,
66,Tính giá trị biểu thức đệ qui (hai biến) 2B,
67,Tính giá trị biểu thức đệ qui (hai biến) 2C,
68,Tính giá trị biểu thức đệ qui (hai biến) 2D,
70,Tính tổng trên mảng vuông,"Cho mảng vuông kiểu số nguyên gồm m dòng và m cột. Viết hàm tính tổng các số chẵn trên đường chéo chính. Sau đó hoàn thiện chương trình theo yêu cầu như sau : **Input** ---------- * Dòng đầu tiên gồm một số nguyên dương m (1 < m <= 150) * m dòng tiếp theo mỗi dòng chứa m số nguyên dương là các phần tử của mảng ở hàng i (0 <= a[i][j] <= 99, 0 <= i <= m, 0 <= j <= m) **Output** ---------- * Giá trị tổng các số chẵn trên đường chéo chính. **Ví dụ:** ---------- **Input** ``` 3 9 1 74 61 8 71 8 46 94 ``` **Output** ``` 102 ```"
71,Tính tích trên mảng vuông,"Cho mảng vuông kiểu số nguyên gồm m dòng và m cột. Viết hàm tính tích các số lẻ trên đường chéo phụ. Sau đó hoàn thiện chương trình theo yêu cầu như sau : **Input** ---------- * Dòng đầu tiên gồm một số nguyên dương m (1 < m <= 5) * m dòng tiếp theo mỗi dòng chứa m số nguyên dương là các phần tử của mảng ở hàng i (0 <= a[i][j] <= 99, 0 <= i <= m, 0 <= j <= m) **Output** ---------- * Giá trị tích các số lẻ trên đường chéo phụ (nếu không tồn tại phần tử lẻ nào in ra 1) **Ví dụ:** ---------- **Input** ``` 3 9 1 74 61 7 71 3 46 94 ``` **Output** ``` 21 ```"
72,Đếm các phần tử chia hết trong mảng vuông,"Cho mảng vuông kiểu số nguyên gồm m dòng và m cột. Viết hàm đếm số các phần tử chia hết cho 3 trong tam giác phía trên đường chéo chính của mảng. Sau đó hoàn thiện chương trình theo yêu cầu như sau : **Input** ---------- * Dòng đầu tiên gồm một số nguyên dương m (1 < m <= 150) * m dòng tiếp theo mỗi dòng chứa m số nguyên dương là các phần tử của mảng ở hàng i (0 <= a[i][j] <= 99, 0 <= i <= m, 0 <= j <= m) **Output** ---------- * số lượng các phần tử chia hết cho 3 trong tam giác phía trên đường chéo chính **Ví dụ:** ---------- **Input** ``` 3 9 1 74 61 7 71 3 46 94 ``` **Output** ``` 1 ```"
73,Đếm số lần xuất hiện của x trong mảng vuông,"Cho x là một số nguyên và một mảng vuông kiểu số nguyên gồm m dòng và m cột. Viết hàm đếm số lần xuất hiện của x trong tam giác dưới đường chéo phụ của mảng.Sau đó hoàn thiện chương trình theo yêu cầu như sau : **Input** ---------- * Dòng đầu tiên gồm hai số nguyên dương m (1 < m <= 150) và x * m dòng tiếp theo mỗi dòng chứa m số nguyên dương là các phần tử của mảng ở hàng i (0 <= a[i][j] <= 99, 0 <= i <= m, 0 <= j <= m) **Output** ---------- * Số lần xuất hiện của x trong tam giác dưới đường chéo phụ **Ví dụ:** ---------- **Input** ``` 3 46 9 1 74 61 7 71 3 46 94 ``` **Output** ``` 1 ```"
74,Sắp xếp các phần tử trong mảng vuông,"Cho mảng vuông kiểu số nguyên gồm m dòng và m cột. Viết hàm sắp xếp các phần tử trên đường chéo chính giảm dần từ trên xuống dưới. Sau đó hoàn thiện chương trình theo yêu cầu như sau : **Input** ---------- * Dòng đầu tiên gồm một số nguyên dương m (1 < m <= 150) * m dòng tiếp theo mỗi dòng chứa m số nguyên dương là các phần tử của mảng ở hàng i (0 <= a[i][j] <= 99, 0 <= i <= m, 0 <= j <= m) **Output** ---------- * m dòng, mỗi dòng chứa m số nguyên dương là các phần tử của mảng ở hàng i sau khi sắp xếp các phần tử trên đường chéo chính giảm dần từ trên xuống dưới. **Ví dụ:** ---------- **Input** ``` 3 94 1 74 61 8 71 8 46 94 ``` **Output** ``` 94 1 74 61 94 71 8 46 8 ```"
75,Tìm số chẵn cuối cùng trên mảng (dùng con trỏ),Cho mảng một chiều các số nguyên dương có n phần tử (1 <= n <= 1000
77,Quản lý sách 1 (dùng con trỏ),"Khai báo kiểu dữ liệu biểu diễn thông tin của một quyển sách gồm: mã sách, tên sách, tác giả, năm xuất bản, số trang, đơn giá; tiếp tục khai báo kiểu dữ liệu để lưu trữ danh mục các quyển sách. Viết các hàm sau (Lưu ý sử dụng con trỏ để truy xuất phần tử trong mảng): * Nhập thông tin cho n quyển sách (1<=n<=1000). * In các mã sách có năm xuất bản trước năm 2021 * Đếm số lượng sách có giá lớn hơn 50000. **Input** ---------- * Số nguyên dương n (1<=n<=1000) * Thông tin n quyển sách: mã sách, tên sách, tác giả, năm xuất bản, số trang, đơn giá **Output** ---------- * Các mã sách có năm xuất bản trước năm 2021(mỗi mã sách nằm trên 1 dòng) * Số nguyên k: số lượng sách có giá lớn hơn 50000 **Ví dụ :** ---------- **Input** ``` 2 VH001 Nha gia kim Paulo Coelho 2020 227 60000 VH002 Mua thu cua cay duong Kazumi Yumoto 2024 204 75000 ``` **Output** ``` VH001 2 ```"
78,Đếm các phần tử số nguyên tố trong mảng hai chiều (dùng con trỏ),"Viết hàm nhập mảng hai chiều các số nguyên không âm có m x n phần tử (1 < m, n <= 150"
79,Tính tổng trên mảng vuông (dùng con trỏ),"Cho mảng vuông kiểu số nguyên gồm m dòng và m cột. Viết hàm tính tổng các số chẵn trên đường chéo chính. Sau đó hoàn thiện chương trình theo yêu cầu như sau (Lưu ý sử dụng con trỏ để cấp phát và truy xuất phần tử trong mảng): **Input** ---------- * Dòng đầu tiên gồm một số nguyên dương m (1 < m <= 150) * m dòng tiếp theo mỗi dòng chứa m số nguyên dương là các phần tử của mảng ở hàng i (0 <= a[i][j] <= 99, 0 <= i <= m, 0 <= j <= m) **Output** ---------- * Giá trị tổng các số chẵn trên đường chéo chính. **Ví dụ:** ---------- **Input** ``` 3 9 1 74 61 8 71 8 46 94 ``` **Output** ``` 102 ```"
81,Mã hoá chuỗi ký tự,"Nhập vào một chuỗi s bao gồm các ký tự chữ cái từ a … z, A …Z, khoảng trắng và các dấu câu. Sau đó mã hoá chuỗi theo cách mỗi chữ cái ch (từ a … z) trong chuỗi s được thay bằng mã số của ch cộng thêm 3, riêng các chữ cái x, y, z trong s được thay bằng a, b, c theo thứ tự. **Input** ---------- * Chuỗi ký tự (số lượng ký tự tối thiểu là 1 và tối đa là 150) **Output** ---------- * Chuỗi sau khi mã hoá **Ví dụ:** ---------- **Input** ``` I love TVU ``` **Output** ``` I oryh TVU ```"
82,Mã hoá chuỗi ký tự (dùng còn trỏ),"Nhập vào một chuỗi s bao gồm các ký tự chữ cái từ a … z, A …Z, khoảng trắng và các dấu câu. Sau đó mã hoá chuỗi theo cách mỗi chữ cái ch (từ a … z) trong chuỗi s được thay bằng mã số của ch cộng thêm 3, riêng các chữ cái x, y, z trong s được thay bằng a, b, c theo thứ tự. * Lưu ý: cấp phát và truy xuất chuỗi sử dụng con trỏ **Input** ---------- * Chuỗi ký tự (số lượng ký tự tối thiểu là 1 và tối đa là 150) **Output** ---------- * Chuỗi sau khi mã hoá **Ví dụ:** ---------- **Input** ``` I love TVU ``` **Output** ``` I oryh TVU ```"
83,Tìm số lẻ,Cho mảng một chiều các số nguyên dương có n phần tử (1 <= n <= 1000
84,Tìm số lẻ (dùng con trỏ),Cho mảng một chiều các số nguyên dương có n phần tử (1 <= n <= 1000
85,Tìm vị trí lớn nhất cuối cùng,Cho mảng một chiều số thực A có n phần tử (1 <= n <= 1000
